alpha,beta,N,n,h,c,mean_n,std_n,alpha_hat,beta_hat,u_star,u_star_hat,z,u,optimal_cost,actual_cost,intervals_str
2,1,3,5,0.06666666666666667,20,1.8163109913740272,1.19744416123858,2,0.7894421858889107,1.0210346203153449,0.7599131484528348,1.3436201523741855,7.7798326104059985,0.4505865326727102,0.4679946307968776,0.6596163888560762_0.7077451972164227_1.8286078862808879_3.5042889888583604_2.381296495658389_1.8925298548915879_3.7837546745186663_2.1035480809957448
2,6,4,5,0.06666666666666667,20,20.071889616217025,7.7056100688126525,7,2.958188175995843,17.612434137523405,52.56956597034125,0.335030997734697,79.54458485640879,4.128810047925692,1.7983345924045024,18.43046660625556_14.829348334531176_33.36781947618342_14.63109190943685_19.10072175467811_14.897293474287846_22.076525687968633_24.647966786628185_17.922798907524125
3,2,4,5,0.06666666666666667,30,4.820875445182571,0.8471475194936562,32,0.1488648541005971,9.054039624684123,14.229953426788493,0.6362662865529488,33.159774797846254,1.607049011544142,1.2619880914038508,3.7759625795105656_4.788545093695519_5.695573897939857_5.626469471454397_4.217826183312516_10.185061286172076_10.251289865187257_3.5740410000552485_9.149382646431675
3,4,4,5,0.13333333333333333,10,10.675997340373522,4.145585066237787,7,1.609767686661158,28.739968430981946,31.285040781289783,0.9186489041807504,69.80506222649554,5.475345839401812,5.136002859360768,10.221348008736161_3.6392769773475644_12.838359801652155_13.06995315833851_13.611048755793222_18.533597943723727_14.82986910167541_22.17592314710148_14.265672033994921
3,6,7,5,0.06666666666666667,30,20.75101501283736,8.600781736745873,6,3.5648109953840135,74.86432187133333,104.44047373865548,0.716813311845641,148.6961724245225,4.922123370212612,2.9503799123911345,21.77292962458325_9.877096741737056_33.26993786436512_16.560308530235503_22.27480230326588_19.46570497448524_18.749499736198516_38.628057629522175_15.95634253458175_27.669005454629566_9.522243170044273_18.705318925060965
2,6,5,5,0.6666666666666666,30,12.199948552568976,6.843163414039833,3,3.838449425378308,43.342512676937474,42.237114967340645,1.0261712408731412,80.31275686506117,24.64682945874913,25.38376126514702,4.323583703285005_11.267373204601194_22.78011227310903_8.979787445956617_13.64888613589304_28.929920786051984_6.164597259590455_4.725602081397287_25.419886743752976_15.07274999426847
4,6,5,5,0.6666666666666666,20,27.3406145965173,11.102503650941665,6,4.508515596239552,122.5448045283467,134.66147625419762,0.9100212468859428,158.52319143731143,23.98559127264315,15.907810122075867,31.674852629381192_17.560038277977235_29.66583235493166_15.330255168920791_42.47209455137563_49.610222487731285_16.10834914761774_33.31732066789494_44.46401116411877_15.023287969948669
4,1,3,5,0.6666666666666666,30,4.3443578269094125,2.8449059371640555,2,1.8629887577812672,5.960550270046737,3.876757082872345,1.537509351922169,7.363744520985856,0.9354628339594122,2.3246582920756738,2.308551683907146_3.5599559585430094_9.17607474191017_2.278982253922533_4.398224496264204_4.1230327080192755_0.7044781822360053_2.5362336307305746
4,4,6,5,0.06666666666666667,30,16.844706270413653,7.630050316766042,5,3.456140279432248,57.10893777008516,65.58457572667746,0.870767816019511,84.5997150630217,1.8327184861957695,1.2676759557562831,22.29504661081012_15.031832143847332_6.714791444214827_26.262916887439616_13.918944265756362_11.35596768040513_6.03725132043963_17.998568714239838_19.833873439388775_9.951545971436795_19.42250793711153
2,1,5,5,0.13333333333333333,25,1.98242288226572,1.2019200757290027,3,0.7287102471241445,3.3707670983747353,4.694654477347101,0.7180011041578335,5.7794118700962125,0.3211526362295303,0.14463431903321483,1.9522484669442195_2.797346023015052_1.0731721008650739_0.5819794977645969_3.507368322739657_0.7575158205914958_0.5467969094072931_1.6751069249726163_1.3415724469669836_1.4584197681578235
2,1,6,5,0.06666666666666667,25,1.293146765128265,0.32164280885313284,16,0.08000182135294712,4.192658496663674,5.34415525509181,0.7845315670178161,9.038653824685293,0.3230663552014412,0.24629990463956553,1.498505596950055_0.8745104637791722_1.211102929895718_1.1705767235529352_1.7110381114634454_0.9473528945378425_2.0582427191365653_2.675561989894137_1.2854683664998887_1.7684608713734289_0.30356698324343023
4,2,6,5,0.06666666666666667,25,7.447897537557136,7.912253515042393,1,8.405560813721177,27.013633890564087,14.411332583711191,1.8744716169479703,32.322191313015075,0.3539038281633992,1.1940572486202587,1.8466909325918386_13.792622801732877_1.120485376900571_18.087133331868923_2.3925552446914695_9.718582708747295_3.9563050619629787_4.992358877629254_2.3068318098616305_6.995707268228402_4.352405586585515
2,2,3,5,0.6666666666666666,10,3.876586493188715,3.1325146037847302,2,2.531259849397334,6.534320082721621,9.271196692420517,0.7047979133118408,14.509968282510005,5.317098799858923,3.492514393392992,1.3127143499245166_3.4372363881200814_4.423459053852103_1.2858462032318372_8.923676470815037_3.670219875851728_6.274472066028899_4.565276340629378
4,2,5,5,0.06666666666666667,20,8.1091409449892,3.285272477916459,6,1.330969004901138,21.368258498585366,23.984339565256377,0.8909254491017691,39.83279044834096,1.2309687966503728,1.0565633922056388,7.28159073001838_5.166744411970191_10.03341185175709_5.262134961488729_12.801822769711611_7.717387868659397_5.491749416689181_3.622515935260714_13.086990358074257_9.914146869657404
4,1,7,5,0.6666666666666666,25,4.75994552373702,2.296386759778277,4,1.1078681728997708,19.985468626080813,22.448157309992162,0.8902943947735455,28.74105356180917,5.8370566238189046,4.195264167878006,7.873536870780652_4.33273631162956_1.507648012123385_4.5534950982192255_5.53231132593228_4.991055748903062_5.98100996446292_4.621455642540762_3.661550033599672_2.761772205987489_4.043068600148829_2.6811413661664383
4,1,3,5,0.13333333333333333,30,3.3358348980014196,2.439844055860052,2,1.7845124830614734,4.527019812342061,2.280608109207853,1.985005575514891,6.720929273342552,0.2925212614667321,0.5920428218846266,1.8435839014870128_0.396131879166116_6.691531427273759_3.13139212684916_4.61653515523105_2.1744308150270437_1.7680837050789209_2.778414753236588
2,1,6,5,0.06666666666666667,30,1.5224603592730697,0.4635128212137043,11,0.141116406821961,4.082894200210163,6.012661500085905,0.6790494026899451,10.488065903230897,0.4270114468680489,0.2983602935429995,1.3316442540518165_0.9163015338776769_2.068494711847457_1.898827173834109_1.3970341227542888_1.4232580272719826_2.7264809180741207_0.590296035092349_0.8461901862281106_1.6465639603453444_3.2552767762189903
4,4,3,5,0.6666666666666666,30,11.610224934095507,5.051394396704864,5,2.197768389148712,32.80705616777375,21.27826038687099,1.5418110113934034,29.34408018440656,30.0,5.3772131983570475,19.760990914713386_9.093280935135576_6.932819762080578_9.266425129814946_12.997607928733048_12.255089800777279_4.2152321484418005_12.87375823518748
3,4,3,5,0.06666666666666667,10,9.426475349202159,3.954302824114817,6,1.6587865819991632,15.503172436847096,16.22959076149957,0.9552411188102347,43.10560797493001,1.8401623692055276,1.7917344808953626,5.338426935567176_11.93936746994034_14.935845362111682_6.6146496247197835_8.304087353671814_14.647226519929406_12.39677744967635_16.06160400532426
3,1,4,5,0.6666666666666666,20,2.4355291069967704,1.022558591440289,6,0.42932193662743795,6.468253931719007,6.483482276423414,0.9976512090177552,10.44792282930674,2.6531125983918225,2.6429603685888843,3.0907541902507654_1.557854739595393_3.910744738360406_1.7045056748444463_1.913786191932842_0.8969969454284201_3.7549945907740865_4.681521400399603_1.1144098927046306
2,6,4,5,0.13333333333333333,10,12.884030935705267,7.092843125409849,3,3.9047114876335,25.93180895475842,27.89522550311097,0.9296146020352628,44.78633725042977,2.513937106089513,2.2521482329758395,14.160003442637866_14.664219261380168_2.1275691426108487_11.680087513673065_21.78827531822439_5.64493434824961_10.662489060213565_17.560484271296737_10.918429570669861
4,6,5,5,0.6666666666666666,20,14.216821371889075,7.948481363577097,3,4.443915720292793,122.5448045283467,57.37382636227905,2.1359008505821904,120.91401156839908,20.0,42.360123470746686,27.311846646667277_15.63632681555459_10.964096944681277_10.20214602996078_6.969690422581457_25.83368491974285_8.554092336922366_41.834728146594934_20.21973499078549_24.47177117435342
2,4,6,5,0.13333333333333333,25,5.873660527340832,4.772980258860597,2,3.8785592809509404,23.655481138594137,22.80241340864847,1.0374112912812166,44.1959862923968,2.7387340205070223,2.852476384499778,9.823195685801254_1.736321789414989_2.8400293233175486_2.7930442552175263_12.175711582952843_10.51727014869644_13.029599670742096_3.15086611885674_11.676181131267088_4.159265547212371_1.6628036756220699
4,1,4,5,0.06666666666666667,20,2.2827289097384575,1.1176735179792918,4,0.54723716314406,7.003864546237446,3.563077793732416,1.9656782567468774,16.75535852134039,0.6500995983401964,0.8794853818405316,3.2822967003708956_1.607269301237359_1.7748509296007104_3.6526140451156808_1.0966135723676418_2.297119239219128_1.6825433332684647_4.8175900330892345_7.958105915763565
2,1,7,5,0.13333333333333333,20,1.2825949704701065,0.4184640076458997,9,0.13652955900090905,6.215971428859203,5.771047838160307,1.0770958070659018,8.43349474417539,0.2956697753754915,0.354992920802011,1.803887701918202_1.5791993620813605_1.188369574484853_1.1078411962211467_0.7336770176449708_0.6698312376374636_0.8229633451225439_1.712389027404646_1.128161887875655_0.4235377129089287_0.5355570647986411_3.1410544684275115
4,1,3,5,0.06666666666666667,25,4.030170618681264,1.9928306328547076,4,0.9854108689183961,4.192658496663674,4.122601606718153,1.0169933689035966,8.767929747653875,0.3050180833993467,0.30968854272904817,4.769759918399685_6.140860814431261_4.5391266351829795_0.7722274128745651_3.9288783125178286_3.175468067441976_3.9248390319667923_1.6676226482451064
4,6,4,5,0.13333333333333333,25,12.587890775316279,7.905785489208818,3,4.9652038865752175,58.57167262637814,30.63407014895697,1.9119781452995201,122.16431856553666,8.47901945855447,12.204033122210626,16.657355140038504_23.87166821720217_9.648032970158734_3.1848893298170964_9.577508219364889_32.89539843281083_25.452988783335925_29.35571815378376_34.46021319560614
2,4,7,5,0.06666666666666667,30,10.915566663913449,9.021980448490377,1,7.456885539624425,25.955106222728435,16.15553575132739,1.6065766324459951,46.041392420053526,1.3390857464883394,1.9923904445817424,6.104652498860873_9.250614379647367_6.757703610195904_5.606010642329172_26.858852188533927_3.077884856290215_14.587733165256356_5.228920731039052_6.36417143839638_8.033181503563283_5.211616181098954_3.5378845444092897
3,2,3,5,0.13333333333333333,25,8.025391969816782,7.461567333002405,1,6.937354246910343,6.338326502151423,2.2079775189862394,2.8706481146880396,19.320213444843464,1.7309182590256054,2.2816314567809632,21.290465607429354_4.523278410372294_5.956625546926931_3.6338377286699104_4.72275255568542_2.9046546345933244_4.585322246514842_11.830236563735298
2,6,3,5,0.06666666666666667,30,8.516808886751027,8.400634079981506,1,8.286043973057595,8.843990941353173,1.7679098437649858,5.002512414614302,48.93960382621856,2.6730408589910257,3.1447795988302385,3.185014776760976_8.760213527686803_0.9717231947271548_7.1829036148998355_22.484189319680368_16.21865514643164_7.170518622939417_25.550430056847503
3,4,3,5,0.6666666666666666,30,10.18407988834055,3.4891968025039115,9,1.1954437180468052,21.534544921939872,22.79993768357588,0.9445001657812625,23.367575406267466,1.2220203228850626,0.37842514846105735,13.098415570203942_5.798460447799418_14.323471830142168_8.477869461147238_9.222182132409987_13.885791732966718_5.000954953990934_4.480828719309816
4,6,3,5,0.13333333333333333,20,25.249772533767146,15.091827557831335,3,9.020408351430646,40.36325574971807,43.13855179337449,0.9356655258862291,57.397972060049526,2.2712955080441937,1.9012560355566714,25.93947743352775_23.410768840008657_20.75826397207444_48.94015950982201_7.200192913402869_31.103465457404013_20.210524759745823_6.083981842899693
3,1,7,5,0.6666666666666666,30,3.147659031827685,1.4139807619230806,5,0.6351836634375421,13.381470154898771,15.623329940474365,0.8565056364989291,19.309887041246395,3.9522779242317485,2.4577047338480194,1.6020968084708889_2.93979887280972_5.011502582204745_4.113572522296936_2.071324373356134_4.0747374693968705_4.11070335511457_2.830654194246741_0.663347138032784_3.6749251864338373_1.295385498726162_2.660134199295431
3,2,7,5,0.13333333333333333,25,5.037387200449651,2.794721283199788,3,1.5504996419716728,24.255010140700325,18.22696330132174,1.3307214010213901,37.789999536941345,1.8046652528321359,2.6084048314159474,4.199296323897751_1.461476793357779_9.247869666219867_5.097528722611431_5.180764496161429_3.856217477733235_4.8530934087766315_1.6767383250745989_8.314021209742325_12.803164377220876_4.443473095976142_1.8432916424175299
2,2,5,5,0.06666666666666667,20,3.686745177296464,1.5649362877767088,6,0.6642785077422266,7.016514061232154,11.272408078781858,0.622450324029645,34.308700390702086,1.8194790886313288,1.5357528207946818,2.886984126820643_4.278483107202313_6.172885512272725_2.4241389331856773_2.6712342070009614_5.277106663606025_11.241295903211457_3.396320135087245_8.55046763138721_5.843510057410153
3,6,5,5,0.13333333333333333,25,12.189896843908796,9.073148816064897,2,6.753299924731978,53.45376190710275,33.45320635485706,1.5978666242060178,53.60108389811262,0.019642932134649033,2.686383672434075,2.8958889222190445_19.552759084002062_1.9972639041305342_20.630338641268658_15.873233667923683_4.3049783509250545_19.669140482121346_8.989571893750451_8.105043132452222_12.532350038863537
4,1,5,5,0.13333333333333333,30,4.195626282315777,2.112248370802583,4,1.0633914652416536,10.193243817063857,10.915224986333499,0.933855585187332,15.461884411181398,0.7024854125490054,0.6062212566463865,2.8878096227869268_3.5810775742357377_5.207743812799371_7.32653613516771_1.974964266589139_3.6277791167230324_2.791591184851397_3.409840953907517_5.203583859758747_0.4290892959407062
3,4,6,5,0.06666666666666667,20,11.816648406132892,9.050643047093523,2,6.932095865980792,40.16491746009736,41.633389537902815,0.9647285005111446,52.68655570885985,0.8347758832508329,0.736877744730469,2.4312780649488257_25.822948929994723_5.826358725221213_14.314306958043879_10.688349352455813_11.780689625340317_8.84724180931374_9.264857860413779_11.939573309762794_6.4975152543007155_4.356677849728506
4,1,6,5,0.6666666666666666,20,4.819707145155276,2.580432128043171,3,1.381542439592123,16.938792946143632,16.94713386620618,0.9995078270975849,18.756116939896195,1.2115493291683752,1.2059887157933435,1.78252547172291_3.1970581108134564_4.1695234963489645_7.832619655164101_7.11680899172695_6.265169744536992_4.250600349248419_1.6531874180379669_2.4279636041251673_3.2796794851988715_0.8795163387487762
2,4,6,5,0.13333333333333333,20,12.001194352082548,9.719247628468572,2,7.871197790168263,24.713565476979998,56.33678117840338,0.4386754968964025,33.362845140825115,1.1532372885126823,20.0,26.464715672932954_17.587890247294983_6.449373568099773_5.625498929784792_3.878493342300241_5.511756617465324_5.163684522064142_1.6417797276554729_3.596067694053211_5.9708648839405445_11.478691695646418
4,4,3,5,0.13333333333333333,20,14.443050521179208,3.380106889354488,18,0.7910463628655136,24.713565476979998,30.64524030794822,0.8064405835502693,35.85740433312512,1.4858451808193494,0.6949552033569195,14.405409979745148_10.467809295447713_18.66174159541016_11.882708421291186_16.79758331400183_10.742790266714184_9.101070780842326_16.013543285568606
2,4,3,5,0.06666666666666667,20,10.725007886351996,5.481617317134655,4,2.80168823463039,5.895993960902116,14.290420079878334,0.41258366989532985,23.071206707497666,1.1450141831063698,0.5853857751746221,17.06607687388175_2.9855824902138117_10.950541978969301_14.42156619196499_8.201271896730123_3.779783235712239_16.762030829843063_2.5293926419423656
3,4,3,5,0.6666666666666666,25,12.736713097481093,9.778352002011133,2,7.507130540150495,22.887936110926816,30.122880735936274,0.7598189665712068,35.613030586932865,8.483396317337366,3.660099900664394,5.766681718090917_28.70247212342258_15.536658012495948_5.953090251021857_7.724663382374165_14.4565725904291_14.15514326645689_7.001314730046877
4,6,4,5,0.13333333333333333,20,20.13333191749182,7.122652707118699,8,2.519810520887964,61.04684290905247,56.39192021282618,1.0825459157740747,167.16483263973532,14.14906529742438,14.769721656921218,11.052164143722454_28.12860686688978_17.732073780165297_26.603986048848476_17.149828747833087_42.1443618176384_51.172284664247826_60.235112245769486_13.613073912079617
2,4,4,5,0.13333333333333333,30,5.655718271445294,3.3486848898660178,3,1.9827173054628433,11.413871733485326,10.01524511903808,1.1396497637175733,20.3526076945979,1.1918314614816765,1.3783150100746429,2.166351760990251_10.766642110714056_3.1693953773326253_6.118346352281348_6.057855755908189_4.879824121405833_11.379148968066769_2.2352982280199876_1.85833637710531
4,4,7,5,0.06666666666666667,20,15.615532459222283,12.475214016811611,2,9.966420624571128,73.46886379468741,80.96988562477607,0.9073603504289326,98.21088471040022,1.649468061047521,1.1493999390416103,2.992540737885357_36.13307860114614_13.410700769953712_9.51748156477346_16.023860622352753_19.255954951690086_7.205629783992026_9.29026710653216_10.766165827875549_18.02124080304752_13.767607428938614_19.904018808324263
4,1,3,5,0.6666666666666666,10,4.146096220136398,1.0446650128790378,16,0.2632174776439843,7.591348075535517,9.738207958380519,0.7795426127660937,12.893613760632537,3.5348437900646794,2.103603868168012,5.786267419193774_4.409240889504077_3.5667155014993264_3.0403893525547807_3.927867937930031_6.3319507802852_4.210328708585219_2.3513342717621177
3,1,7,5,0.6666666666666666,30,2.2894337648806706,0.8277055995526945,8,0.29924279533223097,13.381470154898771,12.314684286455769,1.0866271390827535,25.053406658152433,7.781291002169107,8.49248158113111,2.7968823773004243_1.3301695837260792_2.4234409489037674_3.3126976522027847_1.5839782622702965_3.682589945919809_2.6623514020804073_3.42551459986982_4.886425490562304_2.7038159102902566_6.5872505627140665_1.105458746715769
2,6,7,5,0.6666666666666666,25,14.181683146543294,16.210000307002673,1,18.52841494467277,72.8283737254742,189.6899867507072,0.38393367500829706,102.64460079764204,19.877484714778564,25.0,42.9772309472316_5.927214539490643_9.55140330925196_4.535077502940798_7.917489433801473_9.071916881170297_14.080922740772504_19.205611310803214_7.055001263311684_10.599708612120185_34.55715768933746_8.074282300126702
4,2,6,5,0.06666666666666667,30,7.189606359879997,2.2508498232935152,10,0.704673479106165,26.50984485307017,28.844764898089206,0.9190522074536406,47.61907020455997,1.40728169009932,1.2516203537647175,6.0829627640258215_11.031363990282259_6.754761406771547_6.890009564449967_5.188934073870392_4.766163744057032_20.060638545993136_6.636741407964119_3.0092124762606187_7.918411395930754_5.227902634354307
3,4,7,5,0.06666666666666667,10,16.679124847654297,6.9424564291872795,6,2.889702050401174,54.98747813120494,91.87420075965703,0.5985083698856027,106.38779923321135,3.426688073467094,0.9675732315702883,23.95844047988479_11.328725431998809_18.14227446195909_7.796933952820197_22.169249911608606_24.316446186486665_18.59817234109419_23.62429178111283_12.946319218036978_18.69682676467744_4.229104482012937_3.9766384597903093
2,2,4,5,0.06666666666666667,20,3.998224523958792,1.8481061501832827,5,0.8542532621363305,4.582073323193889,8.2913265817385,0.5526345245266088,10.015101193056122,0.3622018579908155,0.11491830742117475,4.156424289747654_1.201481065634805_5.316612113325382_3.3922788143827454_5.924326336703374_6.332202221733461_0.899944948507178_2.1236441146039535_0.6593099082115301
2,2,4,5,0.06666666666666667,30,2.052476729686675,1.8687662343738038,1,1.7014990660911264,4.212012410796884,0.5348263152939794,7.875477122851848,23.62142079257776,1.2939605587853915,1.5391062984855852,4.177161101926342_1.6829595441383536_0.1043180439072509_0.4900003277842801_3.8079446306771487_4.435367532032028_10.448517956033399_5.114103493535476_3.6234318109768533
2,4,6,5,0.06666666666666667,25,10.125447729021184,6.936924557358856,2,4.752473530288044,20.868040939946013,25.546094884448063,0.816877923390555,52.21513613124697,2.0898063460867307,1.7779360831199271,16.706875531336372_3.155732994508047_14.471625298648139_2.0690907390142037_14.223914081599156_10.32258149457424_8.27820240043312_23.950622596985585_6.742153971339801_1.3997434204600268_1.521832247454192
2,2,7,5,0.06666666666666667,10,3.3267266060448013,1.7560532827032158,4,0.9269541795497972,13.829888467485643,15.704548848768797,0.8806294660651699,23.455958191288378,0.6417379815868489,0.5167606228346387,2.6560749054498256_1.397940561471969_5.907174057962164_2.4684620365632446_4.203981468776803_2.560210623677646_2.363625899533093_3.4039106204495218_1.6617395871543676_5.630418673713585_6.305827301780316_1.5302254849798496
3,1,6,5,0.6666666666666666,25,3.3716876436129,1.4100793456690963,6,0.589711732297959,11.149460526267884,15.193904305403649,0.733811422143986,20.01038237047496,5.907281229471384,3.210985376714208,3.415850780050008_2.538095586700227_5.599936943183317_3.4448277558372618_1.8597271522936865_8.142196631703055_3.081186898987314_0.9497863317491794_2.3894997747164712_2.312502170596918_3.1352105627220253
2,2,6,5,0.13333333333333333,20,4.36571810980736,1.8755426879421828,5,0.8057461077001619,10.847339793003101,14.776492595703685,0.7340943544449108,12.58475354553345,0.23165516700404656,20.0,1.3579654764062064_5.960521726302896_4.306259306186211_5.936529494861285_4.267314545280202_0.4653811771621148_1.056053929252458_1.5969894502962803_2.25324643309422_3.592124375921689_3.620958179806688
3,6,7,5,0.06666666666666667,30,13.604785330876258,8.024933088785794,3,4.733595533722489,74.86432187133333,57.30696712360343,1.30637382553959,148.2874083606107,4.894872432618491,6.065362749133818,10.217347043382576_10.748627977843476_22.241496599935214_21.366730421399453_3.4497246118205664_14.670559924293933_24.400103706311697_30.336753508217033_10.71828455948741_13.809952340280448_39.96886462168048_14.38288970033969
2,6,3,5,0.13333333333333333,30,11.83707363891731,6.302160677922087,4,3.355325008688563,10.845992545855337,18.56565354765649,0.5841966466741705,22.74254161108246,1.5862065420302829,0.556918408456796,6.548996449286069_4.649642160050365_16.979840270976425_19.102985162269608_11.903904152004085_10.86822684452972_1.3314106190329378_10.542904147519797
3,1,5,5,0.06666666666666667,30,2.9637885974795104,1.63811606894497,3,0.9054033940267473,5.996961193756848,5.363074059410303,1.1181947381901798,14.957368336873742,0.597360476207793,0.6396196184975627,5.175128137494447_2.712362881900387_1.0376934092557968_3.964239846104542_1.929518712642378_1.2069881841549268_1.4356766954828457_7.794382107603747_0.7405943131886629_3.7797270364435613
2,4,6,5,0.06666666666666667,25,7.388470985949996,7.191156400238736,1,6.999111246566723,20.868040939946013,11.364528205249988,1.8362434905397795,53.7392108052124,2.1914113243510926,2.824978839997494,3.522388436999677_1.603498305575448_15.733870715731499_14.672299923748227_1.4102975476951307_15.007470915205383_8.90549934640479_13.82925049284585_2.5773014947820534_8.76736486502047_4.652323690953855
3,1,3,5,0.13333333333333333,30,2.3201710103365,1.5221531257909517,2,0.9986117954379287,2.670048303770285,1.0963609835014951,2.4353733341028216,6.149419501206124,0.46391615965811184,0.6737411356939504,2.444824718719665_1.793194018697718_1.9172416725451777_4.7828931091166575_0.6627015326032818_2.692160904279387_2.457182271171985_1.000076325754752
2,2,7,5,0.06666666666666667,20,4.169380787937789,1.359676055860364,9,0.44340372609487366,12.431942857718406,19.22065305052385,0.6468012728308198,38.65342826281966,1.7480990270067502,1.2955183474863872,3.6816224057397124_3.188336882108793_4.462700176944744_6.402966129808163_3.1112783450875328_2.087374496580136_6.265878672927533_3.300292759619829_1.2851022133377015_1.5679214144325098_13.196140380604309_10.950718325317641
4,6,7,5,0.6666666666666666,20,24.672525305653664,19.462276064804136,2,15.3523072701379,180.98552584344887,381.9501537358464,0.47384593008598963,181.33533275894388,0.23320461033000583,20.0,13.343697252184647_19.61603378680303_23.125268615719254_58.11357245479751_9.16405441876387_29.388887037850367_18.291094605188484_47.04203909976384_31.111929628032648_18.470875442094826_13.6310361285501_23.399470817463595
4,4,3,5,0.6666666666666666,25,13.217383644271372,6.2274610569030235,5,2.9341110358139715,34.61576008132377,31.597298962105224,1.095529086927291,54.26910986039034,13.102233186044376,15.114540598856742,14.706219088742728_18.865027475136284_5.912790524904375_19.11699562441202_7.485885508161456_24.505369680488432_18.86246615243387_10.901274027468036
3,1,5,5,0.13333333333333333,10,2.560985412908847,0.8296722752594914,10,0.2687856326180339,7.6806239022591996,9.2226468207703,0.8328003935878456,14.608309978508226,0.9236914768332035,0.7180884210317233,3.879899761511483_2.0183998433926185_2.015593248193193_2.0008983336961648_2.8901358777507764_1.9013721289504155_3.1845991364259825_1.9602542841104285_2.402276228622175_5.159808200399224
2,1,7,5,0.13333333333333333,30,1.3509811989988625,0.7398470769886345,3,0.40516751656814687,5.865857566935198,4.036673980608498,1.4531412730167932,11.349465456157029,0.7311477185629107,0.9750388634064708,2.519448658043878_0.7199148279310565_1.531936550987305_1.2517750880406169_0.731830869991456_0.26488658510050095_0.9092826123922095_2.3722056743259485_1.9530186897960697_0.2681616096366568_1.6090801838476219_3.972830101058021
